epoch, loss, acc, val_loss, val_acc
1, 0.47942793369293213, 0.8307166695594788, 0.35834309458732605, 0.8684999942779541
2, 0.33912697434425354, 0.878433346748352, 0.3157360255718231, 0.8860999941825867
3, 0.3032546043395996, 0.8891500234603882, 0.2843394875526428, 0.8950999975204468
4, 0.27809348702430725, 0.8980500102043152, 0.2740752100944519, 0.8985000252723694
5, 0.2563318610191345, 0.9064499735832214, 0.2806999385356903, 0.8952000141143799
6, 0.2391214370727539, 0.9115166664123535, 0.25618743896484375, 0.9057999849319458
7, 0.2255195826292038, 0.9159833192825317, 0.24587790668010712, 0.9103999733924866
8, 0.21518532931804657, 0.9209499955177307, 0.24085424840450287, 0.9158999919891357
9, 0.20233435928821564, 0.9253166913986206, 0.23865117132663727, 0.9140999913215637
10, 0.19278080761432648, 0.928683340549469, 0.2392875701189041, 0.9132999777793884
